net_profit,current_assets,total_inventory,proprtor_capt_reserves,total_debt,capital_allowance,installment_tax_paid,tax_payable_IT,sales_exempt,output_VAT,input_VAT,VAT_payable,less_crdt_bal_prv_mnth,WVAT - credit,VAT_advance_paid,paye_payable,current_ratio,quick_ratio,Gearing_ratio,total_liabilities,payment_time
-8317999.75,146065596,15326245,-39756640.79,51610601,919655.03,0,30521.7,0,7576127.82,2468884.01,3103781.71,1191352.1,812110,330826.6063,2677573.45,1.234072189,1.104584526,-1.298163023,169971258.8,1
4015940,57146886,15326245,32743841,0,83282.3,275000,1216958.86,0,63027825.07,33210906.12,1890948.04,1740244.13,1041590,330826.6063,2223932.85,2.003458336,1.466150086,0,28524120,1
-7639991.06,21898877.9,0,8980013.39,17613090.75,3163007.63,113933,129344.1,35616,3166167.37,1499767.54,-116019.51,1413072.34,369347,270680.63,896584.8,1.698666892,1.698666892,1.961365756,30504893.14,0
12203754.25,47256621,0,66261067.99,73317522,794833.81,289658.75,3892104.498,0,12360696.35,3265933.18,4229377.21,3894337.96,971048,0,319046.1,1.864454672,1.864454672,1.106494722,98663604,1
12203754.25,2840341,714975,4045233,3177878,823333.13,0,3849824.63,0,15203688.59,9864934.16,-6367670.829,7877323.808,2023059.45,56695,0,9.400246892,7.034002303,0.785585898,3480034,1
12203754.25,167610171.3,15326245,66261067.99,18781399,1965339.23,289658.75,2345885.67,329935.625,51387835.52,33210906.12,9093209.121,3140177.42,3249022.85,330826.6063,7830261.319,1.416096991,1.286609327,0.283445462,137142056.8,1
6059476.5,7528060,0,17512319,7326755,5292318.225,0,1697943.91,0,17685612.95,2400943.09,9093209.121,1367718.14,3289713.125,330826.6063,7830261.319,1.411890431,1.411890431,0.418377201,12658656,0
-242869.52,134847.76,0,-134036.74,1108092.74,0,0,0,0,319924.08,213763.82,-74955.16,181115.42,0,0,0,0.610746343,0.610746343,-8.267082145,1328884.5,1
5997704,167610171.3,0,31267319,0,523578.4,289658.75,1944206.7,0,46051395.86,16925381.41,9093209.121,0,3289713.125,330826.6063,7830261.319,1.416096991,1.416096991,0,118360657.8,1
-5800,0,0,1,0,0,0,5760,0,679560,559900.64,52653.36,0,67006,0,0,0,0,0,0,1
7454234,35132038,0,66261067.99,0,1144046.3,0,985606.45,0,7995466.31,2541069.91,5248168.63,26637.77,179590,0,2063488.6,0.296821923,0.296821923,0,118360657.8,1
12203754.25,167610171.3,15326245,66261067.99,0,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0,118360657.8,1
-8317999.75,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,1684306.3,0,63027825.07,33210906.12,9093209.121,2999939,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
12203754.25,167610171.3,15326245,11574552.76,82970981.25,5292318.225,289658.75,3704632.81,329935.625,63027825.07,33210906.12,-2293286.18,3946375.14,3289713.125,138586.87,5050506.45,1.416096991,1.286609327,7.168396306,201331639,1
9888480,0,0,1,0,0,0,2966544,0,5304837.7,4249514.43,1042227.27,0,13096,330826.6063,616731.3,0,0,0,0,1
-8317999.75,21514038.34,0,-39756640.79,82970981.25,5292318.225,0,0,0,5457616,5416157.05,-6367670.829,7877323.808,3600,0,439255.4,0.679278353,0.679278353,-2.086971625,114642884.6,0
-40686,239445,95640,334996,0,0,0,0,0,91909.16,231.72,91677.44,0,0,0,0,2.054299147,1.233763448,0,116558,1
55612,3664498,1303850,1775003,0,133154.5,0,16683.6,0,2997675.09,2737999.49,177395.28,75454.32,6826,0,58880,1.564299377,1.007712433,0,2342581,1
12203754.25,167610171.3,15326245,51245808,9749243,3604659.38,289658.75,3892104.498,0,63027825.07,33210906.12,9093209.121,240949.24,442319,42361.04,3734821.35,1.416096991,1.286609327,0.190244693,128109900.8,1
12203754.25,167610171.3,15326245,66261067.99,0,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0,118360657.8,1
12203754.25,136791605.2,15326245,66261067.99,9232449,427078.31,289658.75,3892104.498,329935.625,63027825.07,33210906.12,2491832.08,4437819.22,193434,0,3874723.05,2.699990143,2.397481006,0.139334443,59896191.44,1
-8317999.75,167610171.3,15326245,66261067.99,0,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,4473228.98,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0,118360657.8,1
1120692,14343879,0,10736101,1395765,72068.46,0,336207.54,0,20164646.22,19406244.18,218816.04,0,539586,10586.78,0,4.691694153,4.691694153,0.130006694,4453057,0
834353.81,2702528.91,0,687447.91,1222869,0,0,257771.64,0,8286067.69,6113150.68,583687.84,202167.22,1387061.95,0,0,3.643400709,3.643400709,1.778853324,1964629,1
12203754.25,13896342,0,1693477,82970981.25,5292318.225,270207,3892104.498,0,14545078.64,622723.56,9093209.121,286704.21,1633212,110181,1735946.08,0.186068095,0.186068095,48.99445416,157655155.3,1
4400628,10274877,0,-39756640.79,48329647,724668.93,0,442806.38,0,4728575.4,2977810.97,-3001722.6,3901249.03,851238,107638.44,401983.76,0.42196582,0.42196582,-1.215637087,72679669,1
0,0,0,0,0,0,0,0,0,6435862.07,5882452.1,553409.97,0,0,0,0,0,0,0,0,1
-8317999.75,7469756,0,66261067.99,0,5292318.225,13014,0,329935.625,11736388.92,3139148.11,6757611.86,1839628.95,0,330826.6063,7830261.319,0.41598263,0.41598263,0,17956894,1
3882785.12,14595114,2436830,40753169,0,3241878.26,289658.75,1116701.84,0,7712483.43,6847903.38,-6252059.41,7077585.46,39054,0,2195303.26,2.246488417,1.87141013,0,6496857,1
2679886,4170398,0,6124086,100000,0,4985,723987,0,3070696.61,783591.98,1012048.39,649292.24,625764,50403,194544.9,0,0,0.016328967,100000,1
8283267.53,30508032,0,29711541,349000,408214.6,171455,2832535.57,329935.625,9331254.72,208726.06,5587905.21,1142476.1,2392147.35,6612,2391676.36,8.475522191,8.475522191,0.011746277,3948546,1
0,0,0,0,0,0,0,0,0,5972984.85,163671.82,5100074.11,12129.92,697109,99884,0,0,0,0,0,1
12203754.25,167610171.3,0,66261067.99,82970981.25,4277125.65,289658.75,3892104.498,0,63027825.07,20083281.92,9093209.121,5520617.58,3289713.125,330826.6063,7830261.319,1.416096991,1.416096991,1.252182975,201331639,1
12203754.25,44153789,0,66261067.99,0,27232.5,289658.75,3892104.498,0,20581206.94,2175985.31,9093209.121,328154.27,1550322,0,347082.2,0.448505886,0.448505886,0,98446398,1
102886,779526,0,655023,15122901,144146.1,0,30865.8,12030,627093.98,571640.57,-5073488.77,5128942.18,0,0,227744.4,0.012805674,0.012805674,23.08758776,75996387,1
-1190323.4,3593465,314579,-7037351,8767056,110259.55,0,73702.68,329935.625,5267677.9,2381885.52,2502246.27,102286.06,281260.05,0,320917.5,0.893398508,0.815188644,-1.245789218,12789298,1
3316292,110447349,15326245,39509106,15040195,1685709.4,274000,995100.6,0,63027825.07,33210906.12,-1436734.8,3553387.53,129008,168103,1045429.65,1.737454425,1.496356268,0.380676672,78608682,1
12203754.25,167610171.3,5450975,66261067.99,46979474,5292318.225,289658.75,3892104.498,329935.625,30569741.36,25298129.06,-6367670.829,7877323.808,541079,330826.6063,7830261.319,2.669388523,2.582575354,0.709005687,109769199,1
9393396,28410649,6335544,732831,82970981.25,5292318.225,0,1451482.97,0,41482148.97,33210906.12,-6367670.829,7877323.808,1354920,330826.6063,7817384.74,1.364934636,1.060555688,113.2198027,103785640.3,1
12203754.25,158905463,0,66261067.99,0,5292318.225,289658.75,3892104.498,227303,36707733.94,9340023.98,9093209.121,62488.82,3289713.125,330826.6063,7830261.319,49.43192969,49.43192969,0,3214632,1
-5765076,90032711,15326245,41585793,0,121499.75,0,0,0,4886240.22,2563263.09,1254434.88,707517.25,361025,330826.6063,2211149.55,1.431375125,1.18771251,0,62899452,1
2054495,10719473,0,10348774,0,0,0,616348.5,0,2651610.6,1697995.36,104802.4,171635.84,677177,0,0,18.76783294,18.76783294,0,571162,1
2343950,1330690,108250,1763876,0,49525.3,0,703109.95,329935.625,7068773.37,3354924.18,2486596.89,122989.7,1104262.6,0,0,7.473603217,6.865634758,0,178052,1
1376904,97453653,5300645,22845426,43373740,5292318.225,54366,1029458.03,207000,38200891.51,13503608.37,9093209.121,449379.28,3289713.125,330826.6063,5802117,0.823361874,0.778578032,1.898574358,161734397.8,1
12203754.25,81637681,0,66261067.99,0,335409.78,289658.75,3892104.498,329935.625,10108901.07,115809.24,9093209.121,0,311634,330826.6063,4930852.55,7.278436547,7.278436547,0,11216376,1
12203754.25,122522839,13546873,66261067.99,13976981,550442.38,289658.75,3892104.498,329935.625,16870387.17,7308633.44,315036.35,6732591.38,2514126,0,6409244.05,3.658746127,3.254212821,0.210938058,47464639,1
12203754.25,167610171.3,0,66261067.99,18602143.15,5292318.225,289658.75,3892104.498,329935.625,44800879.96,6659856.91,9093209.121,0,3289713.125,330826.6063,7830261.319,5.025770023,5.025770023,0.280740165,51952290.59,1
12203754.25,167610171.3,15326245,66261067.99,0,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,0,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0,118360657.8,1
3361334,52014761,0,-1090206,56100302,1369710.19,0,1261.09,0,13541159.94,2867675.2,9093209.121,11004.75,1212525,0,7830261.319,7.454535722,7.454535722,-51.4584418,63077901,1
-173000,74403828,529590,66261067.99,82970981.25,2037070.93,289658.75,3892104.498,329935.625,15299576.5,3903120.98,9093209.121,0,4130,330826.6063,3418720.02,22.69589161,22.53434728,1.252182975,86249276.25,1
-4090297,134249206,15326245,31999587,19200934,5292318.225,0,1323132.1,0,21015490.43,14498121.52,-6367670.829,7877323.808,2559097,0,2278225.58,1.134238425,1.004750761,0.600036932,137561591.8,1
0,0,0,0,0,0,0,0,0,1991822.6,198663.73,1307769.95,137617.92,347771,0,0,0,0,0,0,1
12203754.25,11015007,0,40543625,0,5292318.225,43516,2722724.71,0,24268334.14,7980455.81,9093209.121,2010466.84,2194211,330826.6063,165600,0.285759111,0.285759111,0,38546477,1
8405562,20090737,0,66261067.99,9461230,499157.63,289658.75,3676604.87,1,2358000,172463.08,632176.39,1037360.53,516000,0,0,38.42352106,38.42352106,0.142787164,9984106,1
8928153,63663056,0,62576841,9364844,3460763.38,289658.75,2572420.48,329935.625,63027825.07,33210906.12,1582837.87,2702748.98,1083543,156190.43,2271090.8,34.18578324,34.18578324,0.149653512,11227111,1
12203754.25,167610171.3,15326245,66261067.99,0,0,0,3892104.498,0,19154970.85,3604258.92,67050.11,5873278.97,3289713.125,0,7830261.319,1.416096991,1.286609327,0,118360657.8,1
12203754.25,167610171.3,15326245,66261067.99,9367765,2670076.01,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,0,7830261.319,1.416096991,1.286609327,0.141376607,127728422.8,1
9139434,23922859,0,-19871943,47324334,5292318.225,0,3892104.498,0,39137464.79,7404538.57,9093209.121,623209.34,3289713.125,330826.6063,4679089.3,0.905013432,0.905013432,-2.381464862,73758040,1
-113470,1252544,0,-28541,0,33293.2,0,25474.5,0,1121735.56,781788.32,6613.64,81675.6,251658,0,67547.5,0.520072862,0.520072862,0,2408401,1
12203754.25,167610171.3,0,66261067.99,0,716154.35,289658.75,3892104.498,0,63027825.07,13044829.18,9093209.121,2937238,3289713.125,330826.6063,7830261.319,1.416096991,1.416096991,0,118360657.8,1
-8317999.75,96045129,383487,66261067.99,0,206581.58,50628,1567644.55,0,21283627.23,7659727.82,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,3.137554148,3.125026587,0,30611465,1
12203754.25,167610171.3,0,66261067.99,7587050,1682450.08,0,3892104.498,329935.625,41680305.22,2919327.49,9093209.121,1483466.04,1238788,330826.6063,7830261.319,1.416096991,1.416096991,0.11450238,125947707.8,1
-305077,3205583,0,8101075,1318502,836619.38,0,206470.2,0,2512367.57,1058509.55,1221476.36,174881.66,57500,0,224203.5,12.07776212,12.07776212,0.162756424,1583914,0
-2537216,19927366,103720,-39756640.79,0,1069030.18,0,0,329935.625,15766926.1,4594240.33,9093209.121,27413.01,130175,0,2881925.18,0.1683614,0.167485095,0,118360657.8,1
-8005879,143080669,0,47430430,82970981.25,1661015.23,261150,115726.5,0,221440,111116.99,102344.25,7978.76,0,0,283428.1,54.14351028,54.14351028,1.749319609,85613600.25,1
231940.45,7581223.4,2982589.55,1204503.7,7550000,0,0,68062.14,329935.625,1362748.3,1190982.75,170373.56,1391.99,0,0,0,3.375752782,2.047670962,6.268141808,9795787.5,1
3966829,5542443,2975489,66261067.99,82970981.25,4809280.15,25825,0,0,11099148.2,5875423.21,3252596.34,1911242.65,59886,0,3385483.08,0.48745909,0.225764173,1.252182975,94341049.25,1
12203754.25,157980872,8634126,66261067.99,7829313,2491430.83,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,3794650.73,6.613658003,6.252201861,0.118158569,31716377,1
2431621.25,34234447.02,15326245,-20068342.43,0,952899.86,214517,80956.64,0,12076271.25,2797358.74,9093209.121,0,28616,0,5488860.04,0.551606312,0.304660495,0,62063189.45,1
-3881305,16348474,1254214,2686093,1036688,244106.71,289658.75,0,142775,3165862.9,1253245.37,1912617.53,0,0,20990.77,0,0.851866228,0.786513183,0.385946429,20228051,1
-3340119.36,16164890.76,0,-46281.55,45975908.61,4697334.02,0,1177320.37,0,5263619.76,3730579.38,1207909.52,325130.86,0,146535.59,1146582.16,1.959497042,1.959497042,-993.3960425,54225418.77,0
12203754.25,22939729,0,66261067.99,0,5292318.225,289658.75,3892104.498,329935.625,36165224.9,1698091.23,9093209.121,1914417.49,3289713.125,330826.6063,7830261.319,1.819086102,1.819086102,0,12610579,1
3447743,3809680,0,7712766,37100000,7551.43,289658.75,1028085.98,0,894600,48876,651324,0,194400,9800,157641.1,0.363565813,0.363565813,4.81020687,47578653,1
-414250,7734788,0,-18820604,75369068,638386.73,0,118153.5,0,14758116.92,11215749.85,248649.21,333058.86,2960659,0,7830261.319,0.683822552,0.683822552,-4.004604103,86680172,0
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,0,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
1818972,6103083,0,-26772674,32523887,154182.61,289658.75,454977.3,0,5037023.72,103709.17,2301985.71,1325198.99,1306129.85,0,1006573.65,4.472591004,4.472591004,-1.214816533,33888439,1
12203754.25,167610171.3,8505630,66261067.99,0,0,0,3892104.498,329935.625,14235048.14,3704392.76,6764672.97,446233.41,3289713.125,0,1414636.45,0,0,0,0,1
-1447121.39,169895,0,-3281778,2536957,662610.85,0,0,0,1524318.06,1178570.11,216409.01,118992.94,10346,4607.8,0,0.023770777,0.023770777,-0.773043454,9684178,1
751974,2375998,0,931698,0,0,0,218748.35,0,1240765.32,815172.64,246675.33,75284.5,103632.85,0,0,1.690051662,1.690051662,0,1405873,1
-7252368,26995866,3275993,-39756640.79,82970981.25,149750.45,2824,0,0,1985466.4,869147.41,36711.9,1001551.09,78056,0,4987389.07,2.33651344,2.052973669,-2.086971625,94524891.25,1
-3291824,244540,0,-12834886,9980656,27277.61,0,0,8894,474023.94,221345.42,-94702.86,342951.38,4430,0,417235,0.027130431,0.027130431,-0.777619373,18994151,1
2312289,449038,0,-183375,70565972,292578.55,0,692904.3,0,4485204.04,20577.6,3442475.76,200411.68,821739,152217,0,4.187185871,4.187185871,-384.8178432,70673213,1
1546405.19,25499969.16,4680231.84,16526115.15,3808969.67,533990.86,0,547855.87,329935.625,11839913.52,7524792.58,601027.32,1443968.17,2270125.45,252109.23,1041443.36,2.835477138,2.315057278,0.230481855,12802154.21,1
2479671,6369966,1497300,13147654,0,0,0,798868.8,0,20757761.57,5879108.5,4734212.73,2965892.59,3289713.125,114951,0,12.739932,9.745332,0,500000,1
3691861,140465161,0,66261067.99,59871333,1140302.66,289658.75,833690.4,0,17581132.53,1204816.51,9093209.121,0,2509012,0,7830261.319,3.225374387,3.225374387,0.90356728,103421366,1
12203754.25,167610171.3,15326245,66261067.99,37867973,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0.571496569,156228630.8,1
12203754.25,111315302,0,66261067.99,0,974074.52,289658.75,3892104.498,0,18273442.24,3796113.96,9093209.121,747203.53,1354860,0,6082501.4,1.884826612,1.884826612,0,59058643,1
-8317999.75,88736336,4902760,-39756640.79,82970981.25,5292318.225,289658.75,811791.9,0,58238032.27,12574296.07,-5073607.73,7877323.808,3289713.125,330826.6063,7830261.319,0.749711413,0.708289203,-2.086971625,201331639,1
12203754.25,115422817,12135220,66261067.99,0,548006.4,289658.75,3892104.498,0,30420383.8,1653933.05,9093209.121,7877323.808,3289713.125,0,7830261.319,3.044712605,2.724600358,0,37909265,1
10609,9950513,8322187,128751,4361449,16779.08,68000,55385.7,329935.625,13903090.47,12229921.66,-6367670.829,7877323.808,0,0,70770.2,1.795286056,0.29378495,33.87506893,9904027,1
12203754.25,165228761,0,66261067.99,9962448,1222749.38,289658.75,3892104.498,0,5681448.49,899043.54,4707214.95,0,75190,330826.6063,161600,1.395977043,1.395977043,0.150351455,128323105.8,1
7976764,80323173,15326245,30128272,82970981.25,2539939.95,289658.75,2619773.15,0,63027825.07,33210906.12,-560170.81,2092596.1,0,27731,1894249.55,24.06522431,19.47340466,2.753924329,86308709.25,1
0,0,0,0,0,0,0,0,0,5976167.51,633633.8,5118913.71,0,223620,0,0,0,0,0,0,1
46153,167610171.3,15326245,66261067.99,3266744,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,0,7830261.319,1.416096991,1.286609327,0.049301107,121627401.8,1
-910411,97321,0,-759898,1332039,25756.2,2759,0.3,0,119387.06,2660,110802.06,5320,605,22467.59,80400,3.103348214,3.103348214,-1.752918155,1363399,1
2044162,31685539,15326245,23264812,18786683,0,289658.75,603347.55,0,11880448.81,8944056.33,2447962.94,448295.54,40134,0,1322034.65,25.34905986,13.08775978,0.807514929,20036652,1
12203754.25,167610171.3,15326245,66261067.99,8124000,5292318.225,289658.75,3892104.498,0.1,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0.122605932,126484657.8,1
11269133,13736579,11544729,-1438491,5000,6224.6,94348,3690305.35,0,4185588.8,3768850.26,-5080773.62,5395945.16,101567,0,0,0.909542356,0.145129323,-0.003475865,15107737,1
-8317999.75,13378392,0,-19526492,14263662,552914.2,0,20259.9,0,5661131.54,693399.46,4304553.96,136722.12,526456,233920,6934909.75,0.606182967,0.606182967,-0.730477446,36333553,1
12203754.25,167610171.3,0,66261067.99,37646247,3904778.41,0,3892104.498,0,63027825.07,33210906.12,9093209.121,30547.84,3289713.125,330826.6063,2116076.15,1.416096991,1.416096991,0.56815032,156006904.8,1
12203754.25,38179559,0,14564805,0,316877.73,0,3839590.28,329935.625,14442996.2,1930090.53,7968301.76,2190004.91,2354599,330826.6063,1830226.05,1.485492546,1.485492546,0,25701616,1
-8317999.75,6625085,144900,21174134,26592721,5292318.225,0,0,329935.625,1055826.12,874736.26,-924959.98,1102982.84,3067,2406,1401842.15,0.169311586,0.165608502,1.255905956,65722264,0
-885394,601238,0,-2423998,6347559,49942.13,0,8895.9,0,557548.6,428870.17,128678.43,0,0,0,300935.6,5.271520508,5.271520508,-2.618632111,6461613,1
4789056,140048728,0,29792776,0,91612.66,289658.75,1437325.94,0,16823352.41,253772.24,8935147.07,4096173.1,3289713.125,0,7830261.319,1.183237156,1.183237156,0,118360657.8,1
4520738,14444353,0,25878750,82970981.25,0,289658.75,1324443.15,0,4208358.39,634821.06,1896388.39,1278529.94,398619,225061.52,3747663.9,2.239593255,2.239593255,3.206143313,89420524.25,1
12203754.25,130203171,15326245,61521976,0,445032.5,289658.75,3878754.08,171120.43,22688619.04,19038339.73,-6367670.829,7877323.808,18420,106638.73,4041131.7,1.758837827,1.551804624,0,74027957,1
-168656.21,4915081.02,0,18121321.64,4650000,4818434.38,1442,15256.85,0,574963.33,434054.3,-567366.05,683877.98,24397.1,0,0,1.462821732,1.462821732,0.2566038,8010000,1
-29141.8,32521432.9,0,5855617.9,0,13499.13,245,0,123650,7615412.52,1370567.36,-6367670.829,7877323.808,631847,0,4324430.65,1.214636128,1.214636128,0,26774630,1
12203754.25,15211752,0,13367127,0,0,0,3892104.498,0,13061797.21,0,9093209.121,500213,2760544,330826.6063,7830261.319,1.91792818,1.91792818,0,7931346,0
59020,2805124,1227100,253535,0,455073,0,17556,0,2347823.78,2274451.79,-80481.76,153735.75,118,0,112280,0.433780497,0.244023449,0,6466690,1
-633415,3591861,0,-19859422,35391168,2561404.71,0,3903.94,329935.625,3694533.44,752830.67,1891444.79,65925.98,984332,53866,469460.15,3.173097768,3.173097768,-1.782084494,36523141,1
-8317999.75,167610171.3,15326245,66261067.99,82970981.25,5292318.225,235998,3892104.498,0,63027825.07,33210906.12,9093209.121,1001757.39,3289713.125,0,7830261.319,1.416096991,1.286609327,1.252182975,201331639,0
12203754.25,105012517,3450250,66261067.99,10042909,2101890.33,289658.75,3892104.498,0,26945559.72,15191267.65,-6367670.829,7877323.808,3289713.125,0,7830261.319,4.974524093,4.811083084,0.151565758,31152972,1
12203754.25,120881564,0,66261067.99,82970981.25,12841.45,289658.75,3892104.498,0,47771219.38,7973847.29,9093209.121,1103193.66,3289713.125,330826.6063,287709.6,1.021298515,1.021298515,1.252182975,201331639,1
7240434.2,13068509,0,66261067.99,705601,0,0,2042702.5,0,1530000,0,1530000,0,0,0,0,13.29726179,13.29726179,0.010648802,1688398,1
5501004,72318246,8762875,52539808,32516485,2861084,289658.75,1201704.3,329935.625,18175516.5,6973518.87,4582091.51,3125349.12,3289713.125,216363,2963386.21,6.942843993,6.101572565,0.618892345,42932713,1
-654870,217476,0,4447403,890716,1631380.08,0,8155.8,0,349544.75,268881.48,-145424.51,188832.78,37255,0,34760,0.434700743,0.434700743,0.20027778,1391005,1
7663621.43,35748715.65,2078414,-5295208.11,19917501.56,4699666.64,0,3892104.498,329935.625,7952528.84,6379394.06,5905.37,630514.41,936715,0,1198655.25,0.693222932,0.652919267,-3.761419976,71486360.61,1
-8317999.75,167610171.3,15326245,66261067.99,82970981.25,5292318.225,0,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
733871,39374184,0,4704369,24076594.34,4516889.01,0,569736.48,1000,22716448.26,11554059.28,5021365.78,3008218.2,3132805,51329.48,272410.1,1.32578407,1.32578407,5.117922157,53775385.34,1
12203754.25,167610171.3,15326245,66261067.99,45714278,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,0.689911578,164074935.8,1
2525102,93326487,13598582,13509255,0,4398370.31,289658.75,838140.2,0,56405798.08,33210906.12,9093209.121,1041316.81,3289713.125,159665,7830261.319,0.950707239,0.812179895,0,98165327,1
12203754.25,70045618,10660,40663872,8635000,1794009.55,289658.75,3892104.498,194250,40311772.96,30973507.84,3804467.32,2101131.8,3289713.125,0,7830261.319,2.642977541,2.642575315,0.212350659,35137540,1
12203754.25,123407667,0,66261067.99,82970981.25,209329.95,289658.75,3892104.498,0,45620789.75,12727194.67,9093209.121,7877323.808,3289713.125,330826.6063,2620353.05,1.042640936,1.042640936,1.252182975,201331639,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,0,3036924,329935.625,63027825.07,33210906.12,9093209.121,7877323.808,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
12203754.25,167610171.3,15326245,66261067.99,27074790,5292318.225,0,3892104.498,0,63027825.07,33210906.12,-6367670.829,7877323.808,3289713.125,330826.6063,5842289.8,1.416096991,1.286609327,0.408607812,145435447.8,1
2974836,43671718,0,12664253,27774115,0,0,871047.25,329935.625,48539874.45,30597974.52,670635.37,6062316.26,3289713.125,330826.6063,939870.55,11.58811664,11.58811664,2.193111193,31542779,1
-5679319.63,28193435.2,0,21325218.58,6743624,201176.55,289658.75,3892104.498,0,32904292.52,12048396.23,9093209.121,0,3289713.125,330826.6063,2590216.95,4.926048422,4.926048422,0.316227661,12466961,1
61863,8879642,4231731,4976677,1736978,321594.55,0,21119.15,0,7920446.68,7232481.74,221189.86,135580.08,331195,0,0,2.842623399,1.487927167,0.349023656,4860727,1
3933506,4094915,0,7283713,0,662870,206000,1180051.8,2250,3025560.63,1580186.27,552860.69,892513.67,0,0,1595758.25,3.238769068,3.238769068,0,1264343,1
-8317999.75,167610171.3,0,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,0,63027825.07,33210906.12,9093209.121,1124737.5,3289713.125,330826.6063,7830261.319,1.416096991,1.416096991,1.252182975,201331639,1
9163900,7777370,0,-16478269,81155638,395932.13,289658.75,3892104.498,0,4726633.09,0,4726633.09,0,0,0,3520000,0.096663458,0.096663458,-4.925009902,161613860,1
8038576.21,167610171.3,15326245,17061499,82970981.25,5292318.225,43759,2266427.26,329935.625,63027825.07,33210906.12,-6367670.829,7877323.808,477398,89751,2950327.36,1.71203395,1.555485862,4.863053431,180872177.3,1
961953.66,460515,0,507001,16490514,0,12000,277897.65,0,525719.91,0,525719.91,0,0,0,0,0.103185077,0.103185077,32.52560449,20953514,1
-1907698.56,50396.73,0,1560399.12,0,0,0,41325.05,0,424000,16000,392000,16000,0,0,0,0.434454569,0.434454569,0,116000,1
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,-5177952.58,7877323.808,66512,330826.6063,6429855.1,1.416096991,1.286609327,1.252182975,201331639,1
12203754.25,167610171.3,15326245,66261067.99,26744940,5292318.225,289658.75,3892104.498,0,63027825.07,33210906.12,9093209.121,5051540.79,50655,330826.6063,7830261.319,1.416096991,1.286609327,0.403629776,145105597.8,1
11346842.7,124841533,0,25349645,82970981.25,3347202.83,0,2679259.1,11600,32676798.22,13193468,9093209.121,1214764.29,3289713.125,330826.6063,1494203.95,4.550895089,4.550895089,3.273062848,110403284.3,0
12203754.25,167610171.3,15326245,66261067.99,82970981.25,5292318.225,289658.75,3892104.498,329935.625,63027825.07,33210906.12,9093209.121,6735583.05,3289713.125,330826.6063,7830261.319,1.416096991,1.286609327,1.252182975,201331639,1
12203754.25,167610171.3,0,66261067.99,0,0,289658.75,3892104.498,0,54335938.26,10649149.32,9093209.121,784430.72,3289713.125,330826.6063,0,1.416096991,1.416096991,0,118360657.8,1
-8317999.75,34922553,5731457,-39756640.79,82970981.25,5292318.225,0,70.8,329935.625,18259870.92,5834298.28,9093209.121,158510.24,575395,0,5731997.26,0.295052036,0.246628369,-2.086971625,201331639,1
-8317999.75,167610171.3,15326245,-39756640.79,82970981.25,5292318.225,178785,0,0,21411315.7,14618498.29,-6367670.829,7877323.808,1253304,0,2398005,2.012171835,1.828179192,-2.086971625,166269121.3,1
-3889271,136196749,15326245,-18574550,0,904043.23,0,0,0,20063034.39,14111158.04,-6367670.829,7877323.808,2191341,0,7830261.319,1.150692735,1.021205072,0,118360657.8,1
-8317999.75,151805797,6994558,66261067.99,32447926,5292318.225,289658.75,2274382.08,329935.625,63027825.07,23685054.1,9093209.121,539220.45,3289713.125,0,7830261.319,8.414833277,8.027113963,0.489698204,50488188,1
